p_val	avg_logFC	pct.1	pct.2	p_val_adj
VAV3	2.95398492971432e-41	1.04270831122371	0.604	0.167	4.30543303505862e-37
LYN	3.52458296819154e-41	0.857273347290565	0.401	0.053	5.13707967613917e-37
HSH2D	9.18110075925966e-41	0.974520905318047	0.417	0.083	1.33814543566209e-36
PDGFD	7.28771126614314e-40	1.05731767787137	0.439	0.071	1.06218391704036e-35
ABCB1	2.59900599657264e-39	0.908668738676206	0.503	0.106	3.78805124000462e-35
SAMD3	5.5547301567937e-39	0.839663596299852	0.818	0.438	8.09601920352682e-35
TXK	1.12893725954769e-38	0.88718883505274	0.337	0.039	1.64542605579076e-34
HOPX	1.75029192690932e-38	0.968851943239999	0.556	0.193	2.55105048347033e-34
GEM	7.83504904336898e-38	1.1202415177113	0.374	0.055	1.14195839807103e-33
GALNT2	8.87574883354048e-38	0.914002154650533	0.652	0.263	1.29364039248852e-33
PPP1R9A	2.47399423729926e-37	0.712287524845384	0.16	0.002	3.60584660086368e-33
ADAM28	3.11408902169688e-37	0.803497277572597	0.289	0.024	4.5387847491232e-33
SRGAP3	5.0191326247447e-34	0.88365826792526	0.455	0.106	7.3153858005654e-30
ABHD2	8.79218692511325e-34	0.846265212925696	0.439	0.11	1.28146124433526e-29
AHI1	4.68188930294108e-33	0.892186336866523	0.765	0.429	6.82385365903662e-29
ITGB1	1.12392498279302e-32	0.789633340918787	0.749	0.412	1.63812066242082e-28
PDE7B	2.87184741834777e-32	1.13991853868487	0.257	0.037	4.18571761224187e-28
LOC100506776	3.43294039907298e-31	0.793851427373929	0.508	0.16	5.00351063164887e-27
ZNF683	1.31201522677963e-30	0.791534978928684	0.455	0.11	1.9122621930313e-26
PIK3AP1	1.75077246321038e-30	0.879536311762527	0.449	0.114	2.55175086512913e-26
AJ606316	2.24597307161748e-30	1.06683285988141	0.246	0.035	3.27350575188247e-26
LARGE	4.08488707944068e-30	0.912231099268499	0.316	0.047	5.95372291828479e-26
LDB2	2.49968597546634e-28	0.758688822593864	0.166	0.006	3.6432923092422e-24
IFITM2	6.28442899766279e-28	0.705638278105956	0.738	0.438	9.15955526409352e-24
ITGA1	4.4838512928869e-27	0.760281941067267	0.807	0.446	6.53521325938265e-23
LOC374443	2.23049355566913e-25	0.70502952037961	0.433	0.163	3.25094435738776e-21
L3MBTL4	1.70944505288619e-24	0.799516279169727	0.305	0.063	2.49151616458163e-20
AGPAT4	4.3389627269227e-23	0.737728095660059	0.684	0.35	6.32403817448984e-19
KCNQ5	7.77810941880747e-22	0.966998852880099	0.38	0.102	1.13365944779119e-17
CMC1	3.89155904337057e-20	0.958730815900026	0.417	0.222	5.6719473057126e-16
DAPK2	2.24844204037203e-18	0.777237569267812	0.401	0.139	3.27710427384224e-14
ABTB2	1.02284095915902e-10	0.851577417654257	0.39	0.252	1.49079069797427e-06
